#
# COVID-19 Country file (official WHO count)
# Country = Falkland Islands (Malvinas)
# Latitude = -52.0
# Population = 2.925
# Territory = 12173.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 96200.0
# GDP_PPP = 96200.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_04_05
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = No cases
#
Date	Conf_Cases	Conf_Deaths
2020_04_05	1	0
2020_04_06	2	0
2020_04_07	2	0
2020_04_08	2	0
2020_04_09	5	0
2020_04_10	5	0
2020_04_11	5	0
2020_04_12	5	0
2020_04_13	5	0
2020_04_14	5	0
2020_04_15	11	0
2020_04_16	11	0
2020_04_17	11	0
2020_04_18	11	0
2020_04_19	11	0
2020_04_20	11	0
2020_04_21	11	0
2020_04_22	11	0
2020_04_23	12	0
2020_04_24	12	0
2020_04_25	12	0
2020_04_26	13	0
2020_04_27	13	0
2020_04_28	13	0
2020_04_29	13	0
2020_04_30	13	0
2020_05_01	13	0
2020_05_02	13	0
2020_05_03	13	0
2020_05_04	13	0
2020_05_05	13	0
2020_05_06	13	0
2020_05_07	13	0
2020_05_08	13	0
2020_05_09	13	0
2020_05_10	13	0
2020_05_11	13	0
2020_05_12	13	0
2020_05_13	13	0
2020_05_14	13	0
2020_05_15	13	0
2020_05_16	13	0
2020_05_17	13	0
2020_05_18	13	0
2020_05_19	13	0
2020_05_20	13	0
2020_05_21	13	0
2020_05_22	13	0
2020_05_23	13	0
2020_05_24	13	0
2020_05_25	13	0
2020_05_26	13	0
2020_05_27	13	0
2020_05_28	13	0
2020_05_29	13	0
2020_05_30	13	0
2020_05_31	13	0
2020_06_01	13	0
2020_06_02	13	0
2020_06_03	13	0
2020_06_04	13	0
2020_06_05	13	0
2020_06_06	13	0
2020_06_07	13	0
2020_06_08	13	0
2020_06_09	13	0
2020_06_10	13	0
2020_06_11	13	0
2020_06_12	13	0
2020_06_13	13	0
2020_06_14	13	0
2020_06_15	13	0
2020_06_16	13	0
2020_06_17	13	0
2020_06_18	13	0
2020_06_19	13	0
2020_06_20	13	0
2020_06_21	13	0
2020_06_22	13	0
2020_06_23	13	0
2020_06_24	13	0
2020_06_25	13	0
2020_06_26	13	0
2020_06_27	13	0
2020_06_28	13	0
2020_06_29	13	0
2020_06_30	13	0
2020_07_01	13	0
2020_07_02	13	0
2020_07_03	13	0
2020_07_04	13	0
2020_07_05	13	0
2020_07_06	13	0
2020_07_07	13	0
2020_07_08	13	0
2020_07_09	13	0
2020_07_10	13	0
2020_07_11	13	0
2020_07_12	13	0
2020_07_13	13	0
2020_07_14	13	0
2020_07_15	13	0
2020_07_16	13	0
2020_07_17	13	0
2020_07_18	13	0
2020_07_19	13	0
2020_07_20	13	0
2020_07_21	13	0
2020_07_22	13	0
2020_07_23	13	0
2020_07_24	13	0
2020_07_25	13	0
2020_07_26	13	0
2020_07_27	13	0
2020_07_28	13	0
2020_07_29	13	0
2020_07_30	13	0
2020_07_31	13	0
2020_08_01	13	0
2020_08_02	13	0
2020_08_03	13	0
2020_08_04	13	0
2020_08_05	13	0
2020_08_06	13	0
2020_08_07	13	0
2020_08_08	13	0
2020_08_09	13	0
2020_08_10	13	0
2020_08_11	13	0
2020_08_12	13	0
2020_08_13	13	0
2020_08_14	13	0
2020_08_15	13	0
2020_08_16	13	0
2020_08_17	13	0
2020_08_18	13	0
2020_08_19	13	0
2020_08_20	13	0
2020_08_21	13	0
2020_08_22	13	0
2020_08_23	13	0
