#
# COVID-19 Country file (official WHO count)
# Country = New Caledonia
# Latitude = -22.0
# Population = 286.913
# Territory = 18575.0
# LEB = 77.6
# DPA = 2000
# DPA65 = 1400
# GDP = 24198.0
# GDP_PPP = 31100.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_20
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_20	2	0
2020_03_21	2	0
2020_03_22	4	0
2020_03_23	5	0
2020_03_24	8	0
2020_03_25	10	0
2020_03_26	14	0
2020_03_27	14	0
2020_03_28	15	0
2020_03_29	15	0
2020_03_30	15	0
2020_03_31	15	0
2020_04_01	16	0
2020_04_02	16	0
2020_04_03	18	0
2020_04_04	18	0
2020_04_05	18	0
2020_04_06	18	0
2020_04_07	18	0
2020_04_08	18	0
2020_04_09	18	0
2020_04_10	18	0
2020_04_11	18	0
2020_04_12	18	0
2020_04_13	18	0
2020_04_14	18	0
2020_04_15	18	0
2020_04_16	18	0
2020_04_17	18	0
2020_04_18	18	0
2020_04_19	18	0
2020_04_20	18	0
2020_04_21	18	0
2020_04_22	18	0
2020_04_23	18	0
2020_04_24	18	0
2020_04_25	18	0
2020_04_26	18	0
2020_04_27	18	0
2020_04_28	18	0
2020_04_29	18	0
2020_04_30	18	0
2020_05_01	18	0
2020_05_02	18	0
2020_05_03	18	0
2020_05_04	18	0
2020_05_05	18	0
2020_05_06	18	0
2020_05_07	18	0
2020_05_08	18	0
2020_05_09	18	0
2020_05_10	18	0
2020_05_11	18	0
2020_05_12	18	0
2020_05_13	18	0
2020_05_14	18	0
2020_05_15	18	0
2020_05_16	18	0
2020_05_17	18	0
2020_05_18	18	0
2020_05_19	18	0
2020_05_20	18	0
2020_05_21	18	0
2020_05_22	18	0
2020_05_23	18	0
2020_05_24	18	0
2020_05_25	18	0
2020_05_26	18	0
2020_05_27	18	0
2020_05_28	18	0
2020_05_29	19	0
2020_05_30	19	0
2020_05_31	19	0
2020_06_01	19	0
2020_06_02	19	0
2020_06_03	19	0
2020_06_04	19	0
2020_06_05	20	0
2020_06_06	20	0
2020_06_07	20	0
2020_06_08	20	0
2020_06_09	20	0
2020_06_10	21	0
2020_06_11	21	0
2020_06_12	21	0
2020_06_13	21	0
2020_06_14	21	0
2020_06_15	21	0
2020_06_16	21	0
2020_06_17	21	0
2020_06_18	21	0
2020_06_19	21	0
2020_06_20	21	0
2020_06_21	21	0
2020_06_22	21	0
2020_06_23	21	0
2020_06_24	21	0
2020_06_25	21	0
2020_06_26	21	0
2020_06_27	21	0
2020_06_28	21	0
2020_06_29	21	0
2020_06_30	21	0
2020_07_01	21	0
2020_07_02	21	0
2020_07_03	21	0
2020_07_04	21	0
2020_07_05	21	0
2020_07_06	21	0
2020_07_07	21	0
2020_07_08	21	0
2020_07_09	21	0
2020_07_10	21	0
2020_07_11	21	0
2020_07_12	21	0
2020_07_13	21	0
2020_07_14	21	0
2020_07_15	22	0
2020_07_16	22	0
2020_07_17	22	0
2020_07_18	22	0
2020_07_19	22	0
2020_07_20	22	0
2020_07_21	22	0
2020_07_22	22	0
2020_07_23	22	0
2020_07_24	22	0
2020_07_25	22	0
2020_07_26	22	0
2020_07_27	22	0
2020_07_28	22	0
2020_07_29	22	0
2020_07_30	22	0
2020_07_31	22	0
2020_08_01	22	0
2020_08_02	22	0
2020_08_03	22	0
2020_08_04	22	0
2020_08_05	22	0
2020_08_06	22	0
2020_08_07	22	0
2020_08_08	23	0
2020_08_09	23	0
2020_08_10	23	0
2020_08_11	23	0
2020_08_12	23	0
2020_08_13	23	0
2020_08_14	23	0
2020_08_15	23	0
2020_08_16	23	0
2020_08_17	23	0
2020_08_18	23	0
2020_08_19	23	0
2020_08_20	23	0
2020_08_21	23	0
2020_08_22	23	0
2020_08_23	23	0
