#
# COVID-19 Country file (official WHO count)
# Country = Gambia
# Latitude = 13.0
# Population = 2293.493
# Territory = 11295.0
# LEB = 62.1
# DPA = 18000
# DPA65 = 4320
# GDP = 727.0
# GDP_PPP = 2401.0
# COVID-19 Mortality = 78.5
# First_Case = 2020_03_19
# Last_Case = 2021_06_13
# First_Death = 2020_03_28
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = 2021_03_09
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_19	       1	       0	       1	       0
2020_03_20	       1	       0	       0	       0
2020_03_21	       1	       0	       0	       0
2020_03_22	       1	       0	       0	       0
2020_03_23	       1	       0	       0	       0
2020_03_24	       1	       0	       0	       0
2020_03_25	       2	       0	       1	       0
2020_03_26	       2	       0	       0	       0
2020_03_27	       2	       0	       0	       0
2020_03_28	       2	       1	       0	       1
2020_03_29	       3	       1	       1	       0
2020_03_30	       3	       1	       0	       0
2020_03_31	       3	       1	       0	       0
2020_04_01	       3	       1	       0	       0
2020_04_02	       3	       1	       0	       0
2020_04_03	       4	       1	       1	       0
2020_04_04	       4	       1	       0	       0
2020_04_05	       4	       1	       0	       0
2020_04_06	       4	       1	       0	       0
2020_04_07	       4	       1	       0	       0
2020_04_08	       4	       1	       0	       0
2020_04_09	       4	       1	       0	       0
2020_04_10	       4	       1	       0	       0
2020_04_11	       4	       1	       0	       0
2020_04_12	       9	       1	       5	       0
2020_04_13	       9	       1	       0	       0
2020_04_14	       9	       1	       0	       0
2020_04_15	       9	       1	       0	       0
2020_04_16	       9	       1	       0	       0
2020_04_17	       9	       1	       0	       0
2020_04_18	       9	       1	       0	       0
2020_04_19	       9	       1	       0	       0
2020_04_20	       9	       1	       0	       0
2020_04_21	      10	       1	       1	       0
2020_04_22	      10	       1	       0	       0
2020_04_23	      10	       1	       0	       0
2020_04_24	      10	       1	       0	       0
2020_04_25	      10	       1	       0	       0
2020_04_26	      10	       1	       0	       0
2020_04_27	      10	       1	       0	       0
2020_04_28	      10	       1	       0	       0
2020_04_29	      10	       1	       0	       0
2020_04_30	      11	       1	       1	       0
2020_05_01	      12	       1	       1	       0
2020_05_02	      12	       1	       0	       0
2020_05_03	      17	       1	       5	       0
2020_05_04	      17	       1	       0	       0
2020_05_05	      17	       1	       0	       0
2020_05_06	      17	       1	       0	       0
2020_05_07	      17	       1	       0	       0
2020_05_08	      18	       1	       1	       0
2020_05_09	      20	       1	       2	       0
2020_05_10	      20	       1	       0	       0
2020_05_11	      20	       1	       0	       0
2020_05_12	      22	       1	       2	       0
2020_05_13	      23	       1	       1	       0
2020_05_14	      23	       1	       0	       0
2020_05_15	      23	       1	       0	       0
2020_05_16	      23	       1	       0	       0
2020_05_17	      23	       1	       0	       0
2020_05_18	      24	       1	       1	       0
2020_05_19	      24	       1	       0	       0
2020_05_20	      24	       1	       0	       0
2020_05_21	      24	       1	       0	       0
2020_05_22	      24	       1	       0	       0
2020_05_23	      25	       1	       1	       0
2020_05_24	      25	       1	       0	       0
2020_05_25	      25	       1	       0	       0
2020_05_26	      25	       1	       0	       0
2020_05_27	      25	       1	       0	       0
2020_05_28	      25	       1	       0	       0
2020_05_29	      25	       1	       0	       0
2020_05_30	      25	       1	       0	       0
2020_05_31	      25	       1	       0	       0
2020_06_01	      25	       1	       0	       0
2020_06_02	      25	       1	       0	       0
2020_06_03	      26	       1	       1	       0
2020_06_04	      26	       1	       0	       0
2020_06_05	      26	       1	       0	       0
2020_06_06	      26	       1	       0	       0
2020_06_07	      26	       1	       0	       0
2020_06_08	      26	       1	       0	       0
2020_06_09	      28	       1	       2	       0
2020_06_10	      28	       1	       0	       0
2020_06_11	      28	       1	       0	       0
2020_06_12	      28	       1	       0	       0
2020_06_13	      28	       1	       0	       0
2020_06_14	      28	       1	       0	       0
2020_06_15	      28	       1	       0	       0
2020_06_16	      28	       1	       0	       0
2020_06_17	      34	       1	       6	       0
2020_06_18	      34	       1	       0	       0
2020_06_19	      36	       1	       2	       0
2020_06_20	      36	       1	       0	       0
2020_06_21	      37	       2	       1	       1
2020_06_22	      37	       2	       0	       0
2020_06_23	      41	       2	       4	       0
2020_06_24	      42	       2	       1	       0
2020_06_25	      42	       2	       0	       0
2020_06_26	      43	       2	       1	       0
2020_06_27	      44	       2	       1	       0
2020_06_28	      45	       2	       1	       0
2020_06_29	      45	       2	       0	       0
2020_06_30	      47	       2	       2	       0
2020_07_01	      49	       2	       2	       0
2020_07_02	      49	       2	       0	       0
2020_07_03	      55	       2	       6	       0
2020_07_04	      55	       2	       0	       0
2020_07_05	      57	       2	       2	       0
2020_07_06	      57	       2	       0	       0
2020_07_07	      61	       3	       4	       1
2020_07_08	      61	       3	       0	       0
2020_07_09	      63	       3	       2	       0
2020_07_10	      64	       3	       1	       0
2020_07_11	      64	       3	       0	       0
2020_07_12	      64	       3	       0	       0
2020_07_13	      64	       3	       0	       0
2020_07_14	      64	       3	       0	       0
2020_07_15	      64	       3	       0	       0
2020_07_16	      64	       3	       0	       0
2020_07_17	      78	       3	      14	       0
2020_07_18	      93	       4	      15	       1
2020_07_19	      93	       4	       0	       0
2020_07_20	      93	       4	       0	       0
2020_07_21	     112	       4	      19	       0
