#
# COVID-19 Country file (official WHO count)
# Country = Timor-Leste
# Latitude = -9.0
# Population = 1381.400
# Territory = 14874.0
# LEB = 69.5
# DPA = 8000
# DPA65 = 3680
# GDP = 2192.0
# GDP_PPP = 5993.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_21
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = No cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_21	1	0
2020_03_22	1	0
2020_03_23	1	0
2020_03_24	1	0
2020_03_25	1	0
2020_03_26	1	0
2020_03_27	1	0
2020_03_28	1	0
2020_03_29	1	0
2020_03_30	1	0
2020_03_31	1	0
2020_04_01	1	0
2020_04_02	1	0
2020_04_03	1	0
2020_04_04	1	0
2020_04_05	1	0
2020_04_06	1	0
2020_04_07	1	0
2020_04_08	1	0
2020_04_09	1	0
2020_04_10	1	0
2020_04_11	2	0
2020_04_12	2	0
2020_04_13	2	0
2020_04_14	6	0
2020_04_15	6	0
2020_04_16	6	0
2020_04_17	18	0
2020_04_18	18	0
2020_04_19	19	0
2020_04_20	19	0
2020_04_21	23	0
2020_04_22	23	0
2020_04_23	23	0
2020_04_24	24	0
2020_04_25	24	0
2020_04_26	24	0
2020_04_27	24	0
2020_04_28	24	0
2020_04_29	24	0
2020_04_30	24	0
2020_05_01	24	0
2020_05_02	24	0
2020_05_03	24	0
2020_05_04	24	0
2020_05_05	24	0
2020_05_06	24	0
2020_05_07	24	0
2020_05_08	24	0
2020_05_09	24	0
2020_05_10	24	0
2020_05_11	24	0
2020_05_12	24	0
2020_05_13	24	0
2020_05_14	24	0
2020_05_15	24	0
2020_05_16	24	0
2020_05_17	24	0
2020_05_18	24	0
2020_05_19	24	0
2020_05_20	24	0
2020_05_21	24	0
2020_05_22	24	0
2020_05_23	24	0
2020_05_24	24	0
2020_05_25	24	0
2020_05_26	24	0
2020_05_27	24	0
2020_05_28	24	0
2020_05_29	24	0
2020_05_30	24	0
2020_05_31	24	0
2020_06_01	24	0
2020_06_02	24	0
2020_06_03	24	0
2020_06_04	24	0
2020_06_05	24	0
2020_06_06	24	0
2020_06_07	24	0
2020_06_08	24	0
2020_06_09	24	0
2020_06_10	24	0
2020_06_11	24	0
2020_06_12	24	0
2020_06_13	24	0
2020_06_14	24	0
2020_06_15	24	0
2020_06_16	24	0
2020_06_17	24	0
2020_06_18	24	0
2020_06_19	24	0
2020_06_20	24	0
2020_06_21	24	0
2020_06_22	24	0
2020_06_23	24	0
2020_06_24	24	0
2020_06_25	24	0
2020_06_26	24	0
2020_06_27	24	0
2020_06_28	24	0
2020_06_29	24	0
2020_06_30	24	0
2020_07_01	24	0
2020_07_02	24	0
2020_07_03	24	0
2020_07_04	24	0
2020_07_05	24	0
2020_07_06	24	0
2020_07_07	24	0
2020_07_08	24	0
2020_07_09	24	0
2020_07_10	24	0
2020_07_11	24	0
2020_07_12	24	0
2020_07_13	24	0
2020_07_14	24	0
2020_07_15	24	0
2020_07_16	24	0
2020_07_17	24	0
2020_07_18	24	0
2020_07_19	24	0
2020_07_20	24	0
2020_07_21	24	0
2020_07_22	24	0
2020_07_23	24	0
2020_07_24	24	0
2020_07_25	24	0
2020_07_26	24	0
2020_07_27	24	0
2020_07_28	24	0
2020_07_29	24	0
2020_07_30	24	0
2020_07_31	24	0
2020_08_01	24	0
2020_08_02	24	0
2020_08_03	24	0
2020_08_04	25	0
2020_08_05	25	0
2020_08_06	25	0
2020_08_07	25	0
2020_08_08	25	0
2020_08_09	25	0
2020_08_10	25	0
2020_08_11	25	0
2020_08_12	25	0
2020_08_13	25	0
2020_08_14	25	0
2020_08_15	25	0
2020_08_16	25	0
2020_08_17	25	0
2020_08_18	25	0
2020_08_19	25	0
2020_08_20	25	0
2020_08_21	25	0
2020_08_22	25	0
2020_08_23	26	0
