#
# COVID-19 Country file (official WHO count)
# Country = Cambodia
# Latitude = 12.0
# Population = 16715.508
# Territory = 181035.0
# LEB = 69.8
# DPA = 99000
# DPA65 = 43560
# GDP = 1504.0
# GDP_PPP = 4455.0
# COVID-19 Mortality = 19.1
# First_Case = 2020_01_28
# Last_Case = 2021_06_13
# First_Death = 2021_03_14
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Sporadic cases
# Vaccine type = Sinopharm/Beijing
# Vaccine start = 2021_02_09
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_28	       1	       0	       1	       0
2020_01_29	       1	       0	       0	       0
2020_01_30	       1	       0	       0	       0
2020_01_31	       1	       0	       0	       0
2020_02_01	       1	       0	       0	       0
2020_02_02	       1	       0	       0	       0
2020_02_03	       1	       0	       0	       0
2020_02_04	       1	       0	       0	       0
2020_02_05	       1	       0	       0	       0
2020_02_06	       1	       0	       0	       0
2020_02_07	       1	       0	       0	       0
2020_02_08	       1	       0	       0	       0
2020_02_09	       1	       0	       0	       0
2020_02_10	       1	       0	       0	       0
2020_02_11	       1	       0	       0	       0
2020_02_12	       1	       0	       0	       0
2020_02_13	       1	       0	       0	       0
2020_02_14	       1	       0	       0	       0
2020_02_15	       1	       0	       0	       0
2020_02_16	       1	       0	       0	       0
2020_02_17	       1	       0	       0	       0
2020_02_18	       1	       0	       0	       0
2020_02_19	       1	       0	       0	       0
2020_02_20	       1	       0	       0	       0
2020_02_21	       1	       0	       0	       0
2020_02_22	       1	       0	       0	       0
2020_02_23	       1	       0	       0	       0
2020_02_24	       1	       0	       0	       0
2020_02_25	       1	       0	       0	       0
2020_02_26	       1	       0	       0	       0
2020_02_27	       1	       0	       0	       0
2020_02_28	       1	       0	       0	       0
2020_02_29	       1	       0	       0	       0
2020_03_01	       1	       0	       0	       0
2020_03_02	       1	       0	       0	       0
2020_03_03	       1	       0	       0	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       2	       0	       1	       0
2020_03_09	       2	       0	       0	       0
2020_03_10	       2	       0	       0	       0
2020_03_11	       3	       0	       1	       0
2020_03_12	       3	       0	       0	       0
2020_03_13	       5	       0	       2	       0
2020_03_14	       7	       0	       2	       0
2020_03_15	       7	       0	       0	       0
2020_03_16	      12	       0	       5	       0
2020_03_17	      24	       0	      12	       0
2020_03_18	      24	       0	       0	       0
2020_03_19	      35	       0	      11	       0
2020_03_20	      47	       0	      12	       0
2020_03_21	      51	       0	       4	       0
2020_03_22	      53	       0	       2	       0
2020_03_23	      84	       0	      31	       0
2020_03_24	      87	       0	       3	       0
2020_03_25	      91	       0	       4	       0
2020_03_26	      96	       0	       5	       0
2020_03_27	      98	       0	       2	       0
2020_03_28	     104	       0	       6	       0
2020_03_29	     102	       0	      -2	       0
2020_03_30	     103	       0	       1	       0
2020_03_31	     107	       0	       4	       0
2020_04_01	     109	       0	       2	       0
2020_04_02	     109	       0	       0	       0
2020_04_03	     110	       0	       1	       0
2020_04_04	     114	       0	       4	       0
2020_04_05	     114	       0	       0	       0
2020_04_06	     114	       0	       0	       0
2020_04_07	     115	       0	       1	       0
2020_04_08	     115	       0	       0	       0
2020_04_09	     117	       0	       2	       0
2020_04_10	     118	       0	       1	       0
2020_04_11	     120	       0	       2	       0
2020_04_12	     122	       0	       2	       0
2020_04_13	     122	       0	       0	       0
2020_04_14	     122	       0	       0	       0
2020_04_15	     122	       0	       0	       0
2020_04_16	     122	       0	       0	       0
2020_04_17	     122	       0	       0	       0
2020_04_18	     122	       0	       0	       0
2020_04_19	     122	       0	       0	       0
2020_04_20	     122	       0	       0	       0
2020_04_21	     122	       0	       0	       0
2020_04_22	     122	       0	       0	       0
2020_04_23	     122	       0	       0	       0
2020_04_24	     122	       0	       0	       0
2020_04_25	     122	       0	       0	       0
2020_04_26	     122	       0	       0	       0
2020_04_27	     122	       0	       0	       0
2020_04_28	     122	       0	       0	       0
2020_04_29	     122	       0	       0	       0
2020_04_30	     122	       0	       0	       0
2020_05_01	     122	       0	       0	       0
2020_05_02	     122	       0	       0	       0
2020_05_03	     122	       0	       0	       0
2020_05_04	     122	       0	       0	       0
2020_05_05	     122	       0	       0	       0
2020_05_06	     122	       0	       0	       0
2020_05_07	     122	       0	       0	       0
2020_05_08	     122	       0	       0	       0
2020_05_09	     122	       0	       0	       0
2020_05_10	     122	       0	       0	       0
2020_05_11	     122	       0	       0	       0
2020_05_12	     122	       0	       0	       0
2020_05_13	     122	       0	       0	       0
2020_05_14	     122	       0	       0	       0
2020_05_15	     122	       0	       0	       0
2020_05_16	     122	       0	       0	       0
2020_05_17	     122	       0	       0	       0
2020_05_18	     122	       0	       0	       0
2020_05_19	     122	       0	       0	       0
2020_05_20	     122	       0	       0	       0
2020_05_21	     122	       0	       0	       0
2020_05_22	     123	       0	       1	       0
2020_05_23	     124	       0	       1	       0
2020_05_24	     124	       0	       0	       0
2020_05_25	     124	       0	       0	       0
2020_05_26	     124	       0	       0	       0
2020_05_27	     124	       0	       0	       0
2020_05_28	     124	       0	       0	       0
2020_05_29	     124	       0	       0	       0
2020_05_30	     125	       0	       1	       0
2020_05_31	     125	       0	       0	       0
2020_06_01	     125	       0	       0	       0
2020_06_02	     125	       0	       0	       0
2020_06_03	     125	       0	       0	       0
2020_06_04	     125	       0	       0	       0
2020_06_05	     125	       0	       0	       0
2020_06_06	     125	       0	       0	       0
2020_06_07	     126	       0	       1	       0
2020_06_08	     126	       0	       0	       0
2020_06_09	     126	       0	       0	       0
2020_06_10	     126	       0	       0	       0
2020_06_11	     126	       0	       0	       0
2020_06_12	     126	       0	       0	       0
2020_06_13	     126	       0	       0	       0
2020_06_14	     126	       0	       0	       0
2020_06_15	     128	       0	       2	       0
2020_06_16	     128	       0	       0	       0
2020_06_17	     128	       0	       0	       0
2020_06_18	     129	       0	       1	       0
2020_06_19	     129	       0	       0	       0
2020_06_20	     129	       0	       0	       0
2020_06_21	     129	       0	       0	       0
2020_06_22	     129	       0	       0	       0
2020_06_23	     129	       0	       0	       0
2020_06_24	     130	       0	       1	       0
2020_06_25	     130	       0	       0	       0
2020_06_26	     130	       0	       0	       0
2020_06_27	     139	       0	       9	       0
2020_06_28	     139	       0	       0	       0
2020_06_29	     141	       0	       2	       0
2020_06_30	     141	       0	       0	       0
2020_07_01	     141	       0	       0	       0
2020_07_02	     141	       0	       0	       0
2020_07_03	     141	       0	       0	       0
2020_07_04	     141	       0	       0	       0
2020_07_05	     141	       0	       0	       0
2020_07_06	     141	       0	       0	       0
2020_07_07	     141	       0	       0	       0
2020_07_08	     141	       0	       0	       0
2020_07_09	     141	       0	       0	       0
2020_07_10	     141	       0	       0	       0
2020_07_11	     141	       0	       0	       0
2020_07_12	     156	       0	      15	       0
2020_07_13	     156	       0	       0	       0
2020_07_14	     165	       0	       9	       0
2020_07_15	     165	       0	       0	       0
2020_07_16	     166	       0	       1	       0
2020_07_17	     166	       0	       0	       0
2020_07_18	     171	       0	       5	       0
2020_07_19	     171	       0	       0	       0
2020_07_20	     171	       0	       0	       0
2020_07_21	     171	       0	       0	       0
